English,Danish
"Do you have any siblings?","Har du nogen søskende?"
"They are renovating their kitchen this summer.","De renoverer deres køkken denne sommer."
"The movie starts in half an hour.","Filmen starter om en halv time."
"She bought fresh flowers for the dining table.","Hun købte friske blomster til spisebordet."
"He prefers to take the bus to work.","Han foretrækker at tage bussen på arbejde."
"This jacket is on sale for half price.","Denne jakke er på tilbud til halv pris."
"She practices yoga every morning.","Hun praktiserer yoga hver morgen."
"We need to clean the garage this weekend.","Vi skal rydde op i garagen denne weekend."
"He's going to visit his grandparents next week.","Han skal besøge sine bedsteforældre næste uge."
"She enjoys watching documentaries about nature.","Hun nyder at se dokumentarfilm om naturen."
"The new restaurant opened last month.","Den nye restaurant åbnede sidste måned."
"Do you like spicy food?","Kan du lide stærk mad?"
"He plays soccer with his friends every Sunday.","Han spiller fodbold med sine venner hver søndag."
"She needs to buy groceries for the week.","Hun skal købe dagligvarer for ugen."
"They are celebrating their anniversary tonight.","De fejrer deres jubilæum i aften."
"Have you read any good books lately?","Har du læst nogle gode bøger på det sidste?"
"She wants to learn how to bake a cake.","Hun vil gerne lære at bage en kage."
"He's going to propose to his girlfriend soon.","Han vil snart fri til sin kæreste."
"We should plan a vacation for next summer.","Vi burde planlægge en ferie til næste sommer."
"She listens to music while she works.","Hun lytter til musik mens hun arbejder."
"Do you know how to ski?","Kan du stå på ski?"
"He's trying to quit smoking this year.","Han forsøger at stoppe med at ryge i år."
"She enjoys going for long walks in the park.","Hun nyder at gå lange ture i parken."
"They are attending a conference next month.","De deltager i en konference næste måned."
"Have you seen the latest episode of that TV show?","Har du set den seneste episode af den TV-serie?"
"She wants to adopt a rescue dog from the shelter.","Hun vil adoptere en redningshund fra internatet."
"He's learning how to play chess online.","Han lærer at spille skak online."
"She needs to book a flight for her business trip.","Hun skal bestille en flyrejse til sin forretningsrejse."
"We should organize a barbecue this weekend.","Vi burde arrangere en grillfest denne weekend."
"He's planning to start his own business.","Han planlægger at starte sin egen virksomhed."
"She enjoys going to the gym after work.","Hun nyder at gå i fitnesscentret efter arbejde."
"They are redecorating their living room.","De er i gang med at omdekorere deres stue."
"Have you tried the new restaurant downtown?","Har du prøvet den nye restaurant i centrum?"
"She's going to study abroad next semester.","Hun skal studere i udlandet næste semester."
"He enjoys watching sports on TV.","Han nyder at se sport i fjernsynet."
"They need to buy new furniture for the office.","De skal købe nyt møbler til kontoret."
"Do you want to go for a walk in the park?","Vil du med ud at gå en tur i parken?"
"She's learning how to knit in her spare time.","Hun lærer at strikke i sin fritid."
"He's trying to learn how to cook Thai food.","Han prøver at lære at lave thailandsk mad."
"We should try that new cafe downtown.","Vi burde prøve den nye cafe i centrum."
"She's planning to take a photography course.","Hun planlægger at tage et fotokursus."
"He likes to read the news online every morning.","Han kan godt lide at læse nyheder online hver morgen."
"They are renovating their bathroom next month.","De renoverer deres badeværelse næste måned."
"Have you ever been to a music festival?","Har du nogensinde været til en musikfestival?"
"She wants to learn how to dance salsa.","Hun vil gerne lære at danse salsa."
"He enjoys going fishing on weekends.","Han nyder at gå ud og fiske i weekenderne."
